query,template_query_fuzzy
what will be monthly forecast of provider worked shift worked hours,what will be the  worked hours of provider worked shift in 
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed between april 2023 to march 2023,Why scheduled hours changed in between april 2023 to march 2023
why did requested hours changed between april 2023 to march 2023,Why requested hours changed in between april 2023 to march 2023
why did worked hours drop on nov 6 2022,Why worked hours changed in nov 6 2022
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why has scheduled hours decreased in march 2023,Why scheduled hours changed in march 2023
why has profit in february decreased,Why profit changed in february
why has profit in march decreased,Why profit changed in march
why did filled hours drop over last 8 weeks,Why filled hours changed in last 8 weeks
why did profit change last week,Why profit changed in last week
why did profit drop in tennessee in 2023,Why profit of tennessee changed in 2023
why did profit changed in june 2022,Why profit changed in june 2022
why did scheduled hours increase last week,Why scheduled hours changed in last week
why did worked hours drop exit month vs last month,Why worked hours changed in last month
why worked hours changed in last 2 weeks,Why worked hours changed in last 2 weeks
why did open shifts changed in last 2 weeks,Why open shifts changed in last 2 weeks
why did profit decrease in southwest in july 2022,Why profit of southwest changed in july 2022
why did worked hours drop in september vs july,Why worked hours changed in september vs july
why did profit decrease for texas for sep 2022 vs july 2022,Why profit of texas changed in sep 2022 vs july 2022
why did scheduled hours change last week,Why scheduled hours changed in last week
why did profit change for sep 2022 vs oct 2022,Why profit changed in sep 2022 vs oct 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did worked hours drop in november vs october,Why worked hours changed in november vs october
why did profit increase in 2022,Why profit changed in 2022
why did worked hours change in dec vs nov,Why worked hours changed in dec vs nov
why did worked hours change last 3 months,Why worked hours changed in last 3 months
why did profit decreased for midwest in feb 2022 for cna,Why profit of midwest changed in feb 2022
why did profit decrease for sep 2022 vs july 2022,Why profit changed in sep 2022 vs july 2022
why has profit decreased in last 12 months,Why profit changed in last 12 months
what will be profit,what will be the  profit
what will be profit for cna,What will be profit in  for cna
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did profit changed for southwest in may 2023,Why profit changed in may 2023
why did scheduled hours changed in may 2023,Why scheduled hours changed in may 2023
why did filled hours changed in feb 2023,Why filled hours changed in feb 2023
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did profit changed for southwest in may 2023,Why profit changed in may 2023
why did scheduled hours changed in may 2023,Why scheduled hours changed in may 2023
why did filled hours changed in feb 2023,Why filled hours changed in feb 2023
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did worked hours changed in feb 2023,Why worked hours changed in feb 2023
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did requested hours changed in nov 2022,Why requested hours changed in nov 2022
why did scheduled hours changed in december 2022,Why scheduled hours changed in december 2022
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did profit changed in quarter2 2022,Why profit changed in quarter2 2022
why did profit decrease for texas for oct 2022 vs july 2022,Why profit of texas changed in oct 2022 vs july 2022
why did scheduled hours changed in march 202,Why scheduled hours changed in march
why did scheduled hours changed in march 2023,Why scheduled hours changed in march 2023
why did profit changed in may 2023,Why profit changed in may 2023
why did scheduled hours changed in feb 2023,Why scheduled hours changed in feb 2023
why did scheduled hours changed in jan 2023,Why scheduled hours changed in jan 2023
why has scheduled hours decreased in march 2023,Why scheduled hours changed in march 2023
why did filled hours changed in april 2023,Why filled hours changed in april 2023
why did profit changed in may 2023,Why profit changed in may 2023
why did scheduled hours changed in march 2023,Why scheduled hours changed in march 2023
why did worked hours changed in march 2023,Why worked hours changed in march 2023
why did requested hours changed in march 2023,Why requested hours changed in march 2023
why did open shifts changed in april 2023,Why open shifts changed in april 2023
why did fill rate changed in march 2023,Why fill rate changed in march 2023
why did number of facilities changed in march 2023,Why number of facilities changed in march 2023
why did number of providers changed in march 2023,Why number of providers changed in march 2023
why did profit changed in may 2023,Why profit changed in may 2023
why did profit changed in march 2023,Why profit changed in march 2023
why did new facilities changed in march 2023,Why new facilities changed in march 2023
why did profit changed in april 2023,Why profit changed in april 2023
why did new providers changed in march 2023,Why new providers changed in march 2023
why has scheduled hours decreased in march 2023,Why scheduled hours changed in march 2023
why has profit in february decreased,Why profit changed in february
why has profit in march decreased,Why profit changed in march
why did filled hours drop over last 8 weeks,Why filled hours changed in last 8 weeks
why did fill rate drop over last 6 weeks,Why fill rate changed in last 6 weeks
why did profit change last week,Why profit changed in last week
why did profit drop in tennessee in 2023,Why profit of tennessee changed in 2023
why did profit changed in june 2022,Why profit changed in june 2022
why did scheduled hours increase last week,Why scheduled hours changed in last week
why did worked hours drop this week vs last week,Why worked hours changed in this week vs last week
why did worked hours drop exit month vs last month,Why worked hours changed in last month
